CODE,DESCRIPTION
8302-2,Body Height
72514-3,Pain severity - 0-10 verbal numeric rating [Score] - Reported
29463-7,Body Weight
77606-2,Weight-for-length Per age and sex
9843-4,Head Occipital-frontal circumference
8462-4,Diastolic Blood Pressure
8480-6,Systolic Blood Pressure
8867-4,Heart rate
9279-1,Respiratory rate
6690-2,Leukocytes [#/volume] in Blood by Automated count
789-8,Erythrocytes [#/volume] in Blood by Automated count
718-7,Hemoglobin [Mass/volume] in Blood
4544-3,Hematocrit [Volume Fraction] of Blood by Automated count
787-2,MCV [Entitic volume] by Automated count
785-6,MCH [Entitic mass] by Automated count
786-4,MCHC [Mass/volume] by Automated count
21000-5,Erythrocyte distribution width [Entitic volume] by Automated count
777-3,Platelets [#/volume] in Blood by Automated count
32207-3,Platelet distribution width [Entitic volume] in Blood by Automated count
32623-1,Platelet mean volume [Entitic volume] in Blood by Automated count
72166-2,Tobacco smoking status NHIS
6206-7,Peanut IgE Ab in Serum
6273-7,Walnut IgE Ab in Serum
6082-2,Codfish IgE Ab in Serum
6246-3,Shrimp IgE Ab in Serum
6276-0,Wheat IgE Ab in Serum
6106-9,Egg white IgE Ab in Serum
6248-9,Soybean IgE Ab in Serum
7258-7,Cow milk IgE Ab in Serum
6189-5,White oak IgE Ab in Serum
6085-5,Common Ragweed IgE Ab in Serum
6833-8,Cat dander IgE Ab in Serum
6095-4,American house dust mite IgE Ab in Serum
6075-6,Cladosporium herbarum IgE Ab in Serum
6844-5,Honey bee IgE Ab in Serum
6158-0,Latex IgE Ab in Serum
39156-5,Body Mass Index
59576-9,Body mass index (BMI) [Percentile] Per age and gender
QALY,QALY
DALY,DALY
QOLS,QOLS
70274-6,Generalized anxiety disorder 7 item (GAD-7) total score [Reported.PHQ]
89204-2,Patient Health Questionnaire-9: Modified for Teens total score [Reported.PHQ.Teen]
76501-6,In the past year  have you been afraid of your partner or ex-partner?
93026-3,Do you feel physically and emotionally safe where you currently live?
93027-1,Are you a refugee?
93028-9,In the past year  have you spent more than 2 nights in a row in a jail  prison  detention center  or juvenile correctional facility?
93038-8,Stress is when someone feels tense  nervous  anxious or can't sleep at night because their mind is troubled. How stressed are you?
93029-7,How often do you see or talk to people that you care about and feel close to (For example: talking to friends on the phone  visiting friends or family  going to church or club meetings)?
93030-5,Has lack of transportation kept you from medical appointments  meetings  work  or from getting things needed for daily living?
