CODE,DESCRIPTION
10509002,Acute bronchitis (disorder)
283371005,Laceration of forearm
444814009,Viral sinusitis (disorder)
16114001,Fracture of ankle
44465007,Sprain of ankle
160968000,Risk activity involvement (finding)
162864005,Body mass index 30+ - obesity (finding)
59621000,Hypertension
105531004,Housing unsatisfactory (finding)
5251000175109,Received certificate of high school equivalency (finding)
160903007,Full-time employment (finding)
195662009,Acute viral pharyngitis (disorder)
160904001,Part-time employment (finding)
73595000,Stress (finding)
741062008,Not in labor force (finding)
423315002,Limited social contact (finding)
446654005,Refugee (person)
422650009,Social isolation (finding)
80583007,Severe anxiety (panic) (finding
224299000,Received higher education (finding)
424393004,Reports of violence in the environment (finding)
36971009,Sinusitis (disorder)
40055000,Chronic sinusitis (disorder)
72892002,Normal pregnancy
283385000,Laceration of thigh
267036007,Dyspnea (finding)
56018004,Wheezing (finding)
840544004,Suspected COVID-19
840539006,COVID-19
706893006,Victim of intimate partner abuse (finding)
128613002,Seizure disorder
703151001,History of single seizure (situation)
224355006,Served in armed forces (finding)
403190006,First degree burn
44054006,Diabetes
302870006,Hypertriglyceridemia (disorder)
301011002,Escherichia coli urinary tract infection
278860009,Chronic low back pain (finding)
1121000119107,Chronic neck pain (finding)
38822007,Cystitis
73438004,Unemployed (finding)
10939881000119104,Unhealthy alcohol drinking behavior (finding)
19169002,Miscarriage in first trimester
198992004,Antepartum eclampsia
156073000,Fetus with unknown complication
266934004,Transport problems (finding)
713458007,Lack of access to transportation (finding)
70704007,Sprain of wrist
271737000,Anemia (disorder)
39848009,Whiplash injury to neck
266948004,Has a criminal record (finding)
15777000,Prediabetes
6072007,Bleeding from anus
236077008,Protracted diarrhea
94260004,Secondary malignant neoplasm of colon
65966004,Fracture of forearm
307731004,Injury of tendon of the rotator cuff of shoulder
43878008,Streptococcal sore throat (disorder)
361055000,Misuses drugs (finding)
197927001,Recurrent urinary tract infection
55822004,Hyperlipidemia
68496003,Polyp of colon
49727002,Cough (finding)
386661006,Fever (finding)
192127007,Child attention deficit disorder
58150001,Fracture of clavicle
284549007,Laceration of hand
284551006,Laceration of foot
84229001,Fatigue (finding)
36955009,Loss of taste (finding)
233604007,Pneumonia (disorder)
389087006,Hypoxemia (disorder)
271825005,Respiratory distress (finding)
132281000119108,Acute deep venous thrombosis (disorder)
239872002,Osteoarthritis of hip
79586000,Tubal pregnancy
239873007,Osteoarthritis of knee
49436004,Atrial Fibrillation
62106007,Concussion with no loss of consciousness
65275009,Acute Cholecystitis
235919008,Cholelithiasis
40275004,Contact dermatitis
84757009,Epilepsy
91302008,Sepsis (disorder)
237602007,Metabolic syndrome X (disorder)
80394007,Hyperglycemia (disorder)
422034002,Diabetic retinopathy associated with type II diabetes mellitus (disorder)
1551000119108,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)
368581000119106,Neuropathy due to type 2 diabetes mellitus (disorder)
64859006,Osteoporosis (disorder)
24079001,Atopic dermatitis
124171000119105,Chronic intractable migraine without aura
65363002,Otitis media
446096008,Perennial allergic rhinitis
241929008,Acute allergic reaction
254837009,Malignant neoplasm of breast (disorder)
224295006,Only received primary school education (finding)
230690007,Stroke
367498001,Seasonal allergic rhinitis
370247008,Facial laceration
431855005,Chronic kidney disease stage 1 (disorder)
127013003,Diabetic renal disease (disorder)
398254007,Preeclampsia
95417003,Primary fibromyalgia syndrome
43724002,Chill (finding)
233678006,Childhood asthma
75498004,Acute bacterial sinusitis (disorder)
410429000,Cardiac Arrest
429007001,History of cardiac arrest (situation)
82423001,Chronic pain
196416002,Impacted molars
55680006,Drug overdose
74400008,Appendicitis
428251008,History of appendectomy
263102004,Fracture subluxation of wrist
53741008,Coronary Heart Disease
201834006,Localized  primary osteoarthritis of the hand
403191005,Second degree burn
62564004,Concussion with loss of consciousness
363406005,Malignant tumor of colon
47693006,Rupture of appendix
162573006,Suspected lung cancer (situation)
254637007,Non-small cell lung cancer (disorder)
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder)
239720000,Tear of meniscus of knee
88805009,Chronic congestive heart failure (disorder)
427419006,Transformed migraine (disorder)
713197008,Recurrent rectal polyp
203082005,Fibromyalgia (disorder)
69896004,Rheumatoid arthritis
32911000,Homeless (finding)
267102003,Sore throat symptom (finding)
443165006,Pathological fracture due to osteoporosis (disorder)
408512008,Body mass index 40+ - severely obese (finding)
248595008,Sputum finding (finding)
66857006,Hemoptysis (finding)
770349000,Sepsis caused by virus (disorder)
267060006,Diarrhea symptom (finding)
30832001,Rupture of patellar tendon
185086009,Chronic obstructive bronchitis (disorder)
126906006,Neoplasm of prostate
92691004,Carcinoma in situ of prostate (disorder)
33737001,Fracture of rib
359817006,Closed fracture of hip
25064002,Headache (finding)
68962001,Muscle pain (finding)
57676002,Joint pain (finding)
65710008,Acute respiratory failure (disorder)
87433001,Pulmonary emphysema (disorder)
22298006,Myocardial Infarction
399211009,History of myocardial infarction (situation)
262574004,Bullet wound
706870000,Acute pulmonary embolism (disorder)
40095003,Injury of kidney (disorder)
67782005,Acute respiratory distress syndrome (disorder)
128188000,Cerebral palsy (disorder)
221360009,Spasticity (finding)
84757009,Epilepsy (disorder)
110359009,Intellectual disability (disorder)
235595009,Gastroesophageal reflux disease (disorder)
232353008,Perennial allergic rhinitis with seasonal variation
195967001,Asthma
35999006,Blighted ovum
45816000,Pyelonephritis
422587007,Nausea (finding)
249497008,Vomiting symptom (finding)
26929004,Alzheimer's disease (disorder)
5602001,Opioid abuse (disorder)
90560007,Gout
110030002,Concussion injury of brain
275272006,Brain damage - traumatic
431856006,Chronic kidney disease stage 2 (disorder)
90781000119102,Microalbuminuria due to type 2 diabetes mellitus (disorder)
109838007,Overlapping malignant neoplasm of colon
225444004,At risk for suicide (finding)
449868002,Smokes tobacco daily
233604007,Pneumonia
83664006,Idiopathic atrophic hypothyroidism
27942005,Shock (disorder)
403192003,Third degree burn
97331000119101,Macular edema and retinopathy due to type 2 diabetes mellitus (disorder)
444470001,Injury of anterior cruciate ligament
698754002,Chronic paralysis due to lesion of spinal cord
314994000,Metastasis from malignant tumor of prostate (disorder)
22253000,Pain (finding)
398152000,Poor muscle tone (finding)
157265008,Dislocation of hip joint (disorder)
230265002,Familial Alzheimer's disease of early onset (disorder)
76571007,Septic shock (disorder)
76916001,Spina bifida occulta (disorder)
7200002,Alcoholism
68235000,Nasal congestion (finding)
427089005,Male Infertility
190905008,Cystic Fibrosis
11218009,Infection caused by Pseudomonas aeruginosa
444448004,Injury of medial collateral ligament of knee
1501000119109,Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder)
93761005,Primary malignant neoplasm of colon
425048006,Non-small cell carcinoma of lung  TNM stage 2 (disorder)
161622006,History of lower limb amputation (situation)
234466008,Acquired coagulation disorder (disorder)
86175003,Injury of heart (disorder)
370143000,Major depression disorder
1734006,Fracture of the vertebral column with spinal cord injury
